V Q53_150, Mean: 81.82352941176471
W Q53_151, Mean: 66.75
X Q53_152, Mean: 78.76470588235294
Y Q53_153, Mean: 68.70588235294117
Z Q53_161, Mean: 70.0
AA Q53_154, Mean: 59.88235294117647
AB Q53_155, Mean: 66.125
AC Q53_157, Mean: 58.2
AD Q53_158, Mean: 72.41176470588235
AE Q53_159, Mean: 55.35294117647059
AF Q53_160, Mean: 100.0
AG Q53_160_TEXT, Mean: 0
AH Q54_182, Mean: 72.16666666666667
AI Q54_183, Mean: 66.5
AJ Q54_184, Mean: 78.6470588235294
AK Q54_185, Mean: 65.77777777777777
AL Q54_186, Mean: 79.27777777777777
AM Q54_187, Mean: 48.38461538461539
AN Q54_189, Mean: 62.55555555555556
AO Q54_190, Mean: 58.705882352941174
AP Q54_191, Mean: 73.16666666666667
AQ Q54_193, Mean: 54.411764705882355
AR Q54_194, Mean: 70.61111111111111
AS Q54_195, Mean: 60.833333333333336
AT Q54_198, Mean: 76.15789473684211
AU Q54_199, Mean: 15.0
AV Q54_199_TEXT, Mean: 0
AW Q54_219, Mean: 83.0
AX Q54_221, Mean: 57.4375
AY Q54_222, Mean: 73.70588235294117
AZ Q54_223, Mean: 78.55555555555556
BA Q54_224, Mean: 56.294117647058826
BB Q54_230, Mean: 65.4
BC Q54_225, Mean: 75.77777777777777
BD Q54_226, Mean: 51.11764705882353
BE Q54_228, Mean: 81.05263157894737
BF Q54_229, Mean: 71.0
BG Q54_231, Mean: 78.88888888888889
BH Q54_232, Mean: 0
BI Q54_232_TEXT, Mean: 0
BJ Q60_1103, Mean: 85.35
BK Q60_1105, Mean: 52.666666666666664
BL Q60_1106, Mean: 74.77777777777777
BM Q60_1107, Mean: 54.23529411764706
BN Q60_1108, Mean: 78.52941176470588
BO Q60_1109, Mean: 60.411764705882355
BP Q60_1111, Mean: 50.05882352941177
BQ Q60_1114, Mean: 63.23529411764706
BR Q60_1112, Mean: 69.27777777777777
BS Q60_1115, Mean: 69.11764705882354
BT Q60_1116, Mean: 81.36842105263158
BU Q60_1117, Mean: 70.23529411764706
BV Q60_1119, Mean: 74.44444444444444
BW Q60_1120, Mean: 0
BX Q60_1120_TEXT, Mean: 0
BY Q41_185, Mean: 79.8125
BZ Q41_187, Mean: 56.9375
CA Q41_188, Mean: 73.83333333333333
CB Q41_189, Mean: 69.88235294117646
CC Q41_194, Mean: 61.411764705882355
CD Q41_196, Mean: 74.58823529411765
CE Q41_197, Mean: 60.705882352941174
CF Q41_199, Mean: 81.58823529411765
CG Q41_200, Mean: 55.88235294117647
CH Q41_203, Mean: 72.3125
CI Q41_204, Mean: 58.0
CJ Q41_204_TEXT, Mean: 0
CK Q37_2532, Mean: 80.13636363636364
CL Q37_2534, Mean: 58.19047619047619
CM Q37_2535, Mean: 63.4
CN Q37_2536, Mean: 78.21052631578948
CO Q37_2537, Mean: 53.05
CP Q37_2538, Mean: 76.52380952380952
CQ Q37_2542, Mean: 45.72222222222222
CR Q37_2545, Mean: 74.95238095238095
CS Q37_2546, Mean: 44.76190476190476
CT Q37_2547, Mean: 82.04761904761905
CU Q37_2548, Mean: 79.52380952380952
